## 토큰, 레이블 구분자 : \t
## 토큰 구분자 : \n
## 문장 구분자 : \n\n
## 주석 : ##
## 컬럼명 : CHAR	NE_TAG
## klue-ner-v1_train_00000_wikitree	특히 <영동고속도로:LC> <강릉:LC> 방향 <문막휴게소:LC>에서 <만종분기점:LC>까지 <5km:QT> 구간에는 승용차 전용 임시 갓길차로제를 운영하기로 했다.
 	O
수	O
위	O
로	O
 	O
평	O
가	O
되	O
고	O
 	O
있	O
다	O
.	O

## klue-ner-v1_train_00007_nsmc	<임시완:PS> <보아:PS> 커플 <최다니엘:PS> <김지원:PS> 커플 보러 가자 연장 고 고 고 고 고 고 고 고 고 고 고 고고 고 고 고 ~~~♥~♥~♥~♥~~♥~♥~♥~~♥~♥~♥~♥~♥~♥~♥~~♥~♥~♥~♥~♥~♥~♥~♥~♥~♥~♥~♥~♥~~♥~♥~♥~♥~♥~♥~♥~♥~
임	B-PS
시	I-PS
완	I-PS
 	O
보	B-PS
아	I-PS
 	O
커	O
플	O
 	O
최	B-PS
다	I-PS
니	I-PS
엘	I-PS
 	O
김	B-PS
지	I-PS
원	I-PS
 	O
커	O
플	O
 	O
보	O
러	O
 	O
가	O
자	O
 	O
연	O
장	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
고	O
 	O
고	O
 	O
고	O
 	O
고	O
 	O
~	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O
♥	O
~	O

## klue-ner-v1_train_00008_wikitree	공개적으로 말하지 못했지만 <지난 가을:DT>부터, 가슴이 내내 아팠다.
공	O
개	O
적	O
으	O
로	O
 	O
말	O
하	O
지	O
 	O
못	O
했	O
지	O
만	O
 	O
지	B-DT
난	I-DT
 	I-DT
가	I-DT
을	I-DT
부	O
터	O
,	O
 	O
가	O
슴	O
이	O
 	O
내	O
내	O
 	O
아	O
팠	O
다	O
.	O

## klue-ner-v1_train_00009_nsmc	다만 너무 <김우빈:PS>의 분량만 많아서 ...ᄒ저는 <이현우:PS>팬이라 ᄒᄒᄒ그래도 재미있었어요
다	O
만	O
 	O
너	O
무	O
 	O
김	B-PS
우	I-PS
빈	I-PS
의	O
 	O
분	O
량	O
만	O
 	O
많	O
아	O
서	O
 	O
.	O
.	O
.	O
ᄒ	O
저	O
는	O
 	O
이	B-PS
현	I-PS
우	I-PS
팬	O
이	O
라	O
 	O
ᄒ	O
ᄒ	O
ᄒ	O
그	O
래	O
도	O
 	O
재	O
미	O
있	O
었	O
어	O
요	O

## klue-ner-v1_train_00010_wikitree	<중국 후난(湖南)성 창샤(長沙)시 우자링(五家岭)가:LC> 한 시장에서 <14일:DT> <오전 10시 15분:TI>께 칼부림 사건이 일어나 <5명:QT>이 숨지고 <1명:QT>이 부상했다고 <중신넷:OG>이 <14일:DT> 보도했다.
중	B-LC
국	I-LC
 	I-LC
후	I-LC
난	I-LC
(	I-LC
湖	I-LC
南	I-LC
)	I-LC
성	I-LC
 	I-LC
창	I-LC
샤	I-LC
(	I-LC
長	I-LC
沙	I-LC
)	I-LC
시	I-LC
 	I-LC
우	I-LC
자	I-LC
링	I-LC
(	I-LC
五	I-LC
家	I-LC
岭	I-LC
)	I-LC
가	I-LC
 	O
한	O
 	O
시	O
장	O
에	O
서	O
 	O
1	B-DT
4	I-DT
일	I-DT
 	O
오	B-TI
전	I-TI
 	I-TI
1	I-TI
0	I-TI
시	I-TI
 	I-TI
1	I-TI
5	I-TI
분	I-TI
께	O
 	O
칼	O
부	O
림	O
 	O
사	O
건	O
이	O
 	O
일	O
어	O
나	O
 	O
5	B-QT
명	I-QT
이	O
 	O
숨	O
지	O
고	O
 	O
1	B-QT
명	I-QT
이	O
 	O
부	O
상	O
했	O
다	O
고	O
 	O
중	B-OG
신	I-OG
넷	I-OG
이	O
 	O
1	B-DT
4	I-DT
일	I-DT
 	O
보	O
도	O
했	O
다	O
.	O

## klue-ner-v1_train_00011_nsmc	<짐캐리:PS>는 볼만하지만 재미가 전혀 없었따...
짐	B-PS
캐	I-PS
리	I-PS
는	O
 	O
볼	O
만	O
하	O
지	O
만	O
 	O
재	O
미	O
가	O
 	O
전	O
혀	O
 	O
없	O
었	O
따	O
.	O
.	O
.	O

## klue-ner-v1_train_00012_wikitree	<이날:DT> 대정부질문은 외교·통일·안보 분야인 만큼 <주한미군:OG> 탄저균 배달사고 사건과 <오산:LC>과 <평택:LC>, <군산:LC> 기지에서 탄저균 실험이 이뤄졌다는 의혹이 도마에 오를 전망이다.
이	B-DT
날	I-DT
 	O
대	O
정	O
부	O
질	O
문	O
은	O
 	O
외	O
교	O
·	O
통	O
일	O
·	O
안	O
보	O
 	O
분	O
야	O
인	O
 	O
만	O
큼	O
 	O
주	B-OG
한	I-OG
미	I-OG
군	I-OG
 	O
탄	O
저	O
균	O
 	O
배	O
달	O
사	O
고	O
 	O
사	O
건	O
과	O
 	O
오	B-LC
산	I-LC
과	O
 	O
평	B-LC
택	I-LC
,	O
 	O
군	B-LC
산	I-LC
 	O
기	O
지	O
에	O
서	O
 	O
탄	O
저	O
균	O
 	O
실	O
험	O
이	O
 	O
이	O
뤄	O
졌	O
다	O
는	O
 	O
의	O
혹	O
이	O
 	O
도	O
마	O
에	O
 	O
오	O
를	O
 	O
전	O
망	O
이	O
다	O
.	O

## klue-ner-v1_train_00013_wikitree	이로써 <추신수:PS>는 메이저리그에서 개인통산 첫 사이클링 히트를 달성한 것은 <아시아:LC> 출신 선수로 최초의 대기록을 수립했다.
이	O
로	O
써	O
 	O
추	B-PS
신	I-PS
수	I-PS
는	O
 	O
메	O
이	O
저	O
리	O
그	O
에	O
서	O
 	O
개	O
인	O
통	O
산	O
 	O
첫	O
 	O
사	O
이	O
클	O
링	O
 	O
히	O
트	O
를	O
 	O
달	O
성	O
한	O
 	O
것	O
은	O
 	O
아	B-LC
시	I-LC
아	I-LC
 	O
출	O
신	O
 	O
선	O
수	O
로	O
 	O
최	O
초	O
의	O
 	O
대	O
기	O
록	O
을	O
 	O
수	O
립	O
했	O
다	O
.	O

## klue-ner-v1_train_00014_wikitree	사립유치원의 학부모 부담금은 연간 <230만원:QT>을 넘어섰다.
사	O
립	O
유	O
치	O
원	O
의	O
 	O
학	O
부	O
모	O
 	O
부	O
담	O
금	O
은	O
 	O
연	O
간	O
 	O
2	B-QT
3	I-QT
0	I-QT
만	I-QT
원	I-QT
을	O
 	O
넘	O
어	O
섰	O
다	O
.	O

## klue-ner-v1_train_00015_nsmc	진짜 sf이면서 롱타임영화인데 보고나서 허무함도 <하나:QT>없이 너무잘만들어진 걸작이다.
진	O
짜	O
 	O
s	O
f	O
이	O
면	O
서	O
 	O
롱	O
타	O
임	O
영	O
화	O
인	O
데	O
 	O
보	O
고	O
나	O
서	O
 	O
허	O
무	O
함	O
도	O
 	O
하	B-QT
나	I-QT
없	O
이	O
 	O
너	O
무	O
잘	O
만	O
들	O
어	O
진	O
 	O
걸	O
작	O
이	O
다	O
.	O

## klue-ner-v1_train_00016_nsmc	개인적 <전지현:PS>+<김태희:PS> 닮은! 완성도는 있는데.. 내용 본래의 바탕이 무료하다.
개	O
인	O
적	O
 	O
전	B-PS
지	I-PS
현	I-PS
+	O
김	B-PS
태	I-PS
희	I-PS
 	O
닮	O
은	O
!	O
 	O
완	O
성	O
도	O
는	O
 	O
있	O
는	O
데	O
.	O
.	O
 	O
내	O
용	O
 	O
본	O
래	O
의	O
 	O
바	O
탕	O
이	O
 	O
무	O
료	O
하	O
다	O
.	O

## klue-ner-v1_train_00017_nsmc	포스터도 <2명:QT>의 살인마가 서로 상호관계 또는 대립관계를 이어나갈것같으나 그냥 살인마<한명:QT>이고 나머지는 주인공과 친구일뿐(급이 다르다)
포	O
스	O
터	O
도	O
 	O
2	B-QT
명	I-QT
의	O
 	O
살	O
인	O
마	O
가	O
 	O
서	O
로	O
 	O
상	O
호	O
관	O
계	O
 	O
또	O
는	O
 	O
대	O
립	O
관	O
계	O
를	O
 	O
이	O
어	O
나	O
갈	O
것	O
같	O
으	O
나	O
 	O
그	O
냥	O
 	O
살	O
인	O
마	O
한	B-QT
명	I-QT
이	O
고	O
 	O
나	O
머	O
지	O
는	O
 	O
주	O
인	O
공	O
과	O
 	O
친	O
구	O
일	O
뿐	O
(	O
급	O
이	O
 	O
다	O
르	O
다	O
)	O

## klue-ner-v1_train_00018_nsmc	아주 오래된 영화지만 그래픽 떡칠한 요새 영화보다 <천배:QT>는 좋은 영화다.
아	O
주	O
 	O
오	O
래	O
된	O
 	O
영	O
화	O
지	O
만	O
 	O
그	O
래	O
픽	O
 	O
떡	O
칠	O
한	O
 	O
요	O
새	O
 	O
영	O
화	O
보	O
다	O
 	O
천	B-QT
배	I-QT
는	O
 	O
좋	O
은	O
 	O
영	O
화	O
다	O
.	O

## klue-ner-v1_train_00019_nsmc	<헐리우드:LC> 액션물의 엉터리 짜깁기와 난감한 로맨스, 불운만 탓할게 아닌
헐	B-LC
리	I-LC
우	I-LC
드	I-LC
 	O
액	O
션	O
물	O
의	O
 	O
엉	O
터	O
리	O
 	O
짜	O
깁	O
기	O
와	O
 	O
난	O
감	O
한	O
 	O
로	O
맨	O
스	O
,	O
 	O
불	O
운	O
만	O
 	O
탓	O
할	O
게	O
 	O
아	O
닌	O

## klue-ner-v1_train_00020_nsmc	<80-90년대:DT>를 살았던 <10대:QT>라면 미친듯이 열광하게 만드는 락!! 다시보고 싶은 영화!!
8	B-DT
0	I-DT
-	I-DT
9	I-DT
0	I-DT
년	I-DT
대	I-DT
를	O
 	O
살	O
았	O
던	O
 	O
1	B-QT
0	I-QT
대	I-QT
라	O
면	O
 	O
미	O
친	O
듯	O
이	O
 	O
열	O
광	O
하	O
게	O
 	O
만	O
드	O
는	O
 	O
락	O
!	O
!	O
 	O
다	O
시	O
보	O
고	O
 	O
싶	O
은	O
 	O
영	O
화	O
!	O
!	O

## klue-ner-v1_train_00021_wikitree	<새정치연합:OG>은 또 선거 참여 연령을 만 <18세:QT>(고등학생 제외)로 낮추는 방안도 제안했지만, 이에 <새누리당:OG>은 난색을 표했다.
새	B-OG
정	I-OG
치	I-OG
연	I-OG
합	I-OG
은	O
 	O
또	O
 	O
선	O
거	O
 	O
참	O
여	O
 	O
연	O
령	O
을	O
 	O
만	O
 	O
1	B-QT
8	I-QT
세	I-QT
(	O
고	O
등	O
학	O
생	O
 	O
제	O
외	O
)	O
로	O
 	O
낮	O
추	O
는	O
 	O
방	O
안	O
도	O
 	O
제	O
안	O
했	O
지	O
만	O
,	O
 	O
이	O
에	O
 	O
새	B-OG
누	I-OG
리	I-OG
당	I-OG
은	O
 	O
난	O
색	O
을	O
 	O
표	O
했	O
다	O
.	O

## klue-ner-v1_train_00022_nsmc	십계촬영지인 <이집트 시나이반도:LC> 까지 가게만든 영화~~~~
십	O
계	O
촬	O
영	O
지	O
인	O
 	O
이	B-LC
집	I-LC
트	I-LC
 	I-LC
시	I-LC
나	I-LC
이	I-LC
반	I-LC
도	I-LC
 	O
까	O
지	O
 	O
가	O
게	O
만	O
든	O
 	O
영	O
화	O
~	O
~	O
~	O
~	O

## klue-ner-v1_train_00023_wikitree	해당 영상은 <21일:DT> 현재 조회 수 <91만 회:QT> 이상을 기록하고 있다.
해	O
당	O
 	O
영	O
상	O
은	O
 	O
2	B-DT
1	I-DT
일	I-DT
 	O
현	O
재	O
 	O
조	O
회	O
 	O
수	O
 	O
9	B-QT
1	I-QT
만	I-QT
 	I-QT
회	I-QT
 	O
이	O
상	O
을	O
 	O
기	O
록	O
하	O
고	O
 	O
있	O
다	O
.	O

## klue-ner-v1_train_00024_wikitree	<유병재:PS> 씨는 SNS에 때론 촌철살인을, 때론 잔잔한 감동을 주는 글을 남겨 많은 사랑을 받고 있다.
유	B-PS
병	I-PS
재	I-PS
 	O
씨	O
는	O
 	O
S	O
N	O
S	O
에	O
 	O
때	O
론	O
 	O
촌	O
철	O
살	O
인	O
을	O
,	O
 	O
때	O
론	O
 	O
잔	O
잔	O
한	O
 	O
감	O
동	O
을	O
 	O
주	O
는	O
 	O
글	O
을	O
 	O
남	O
겨	O
 	O
많	O
은	O
 	O
사	O
랑	O
을	O
 	O
받	O
고	O
 	O
있	O
다	O
.	O

## klue-ner-v1_train_00025_nsmc	<이동욱:PS>님 재치도 넘치시고 너무좋았어요
이	B-PS
동	I-PS
욱	I-PS
님	O
 	O
재	O
치	O
도	O
 	O
넘	O
치	O
시	O
고	O
 	O
너	O
무	O
좋	O
았	O
어	O
요	O

## klue-ner-v1_train_00026_nsmc	우승은 <락스코:PS>인가보죠 <비아이:PS> <올티:PS> <바비:PS> <아이언:PS> 죄다 힙합인데 혼자 롹~~~악? 정당하게 승부하겟다더니 게스트 부르는것도 모자라서 롹까지 하다
우	O
승	O
은	O
 	O
락	B-PS
스	I-PS
코	I-PS
인	O
가	O
보	O
죠	O
 	O
비	B-PS
아	I-PS
이	I-PS
 	O
올	B-PS
티	I-PS
 	O
바	B-PS
비	I-PS
 	O
아	B-PS
이	I-PS
언	I-PS
 	O
죄	O
다	O
 	O
힙	O
합	O
인	O
데	O
 	O
혼	O
자	O
 	O
롹	O
~	O
~	O
~	O
악	O
?	O
 	O
정	O
당	O
하	O
게	O
 	O
승	O
부	O
하	O
겟	O
다	O
더	O
니	O
 	O
게	O
스	O
트	O
 	O
부	O
르	O
는	O
것	O
도	O
 	O
모	O
자	O
라	O
서	O
 	O
롹	O
까	O
지	O
 	O
하	O
다	O

## klue-ner-v1_train_00027_wikitree	<청와대:OG>가 구조개혁을 위해 추진하는 노동개혁법과 서비스산업발전기본법, 규제프리존 특별법 등 중점 법안 처리를 위해선 <야당:OG>의 협조가 더욱 불가피한 상황이 됐다.
청	B-OG
와	I-OG
대	I-OG
가	O
 	O
구	O
조	O
개	O
혁	O
을	O
 	O
위	O
해	O
 	O
추	O
진	O
하	O
는	O
 	O
노	O
동	O
개	O
혁	O
법	O
과	O
 	O
서	O
비	O
스	O
산	O
업	O
발	O
전	O
기	O
본	O
법	O
,	O
 	O
규	O
제	O
프	O
리	O
존	O
 	O
특	O
별	O
법	O
 	O
등	O
 	O
중	O
점	O
 	O
법	O
안	O
 	O
처	O
리	O
를	O
 	O
위	O
해	O
선	O
 	O
야	B-OG
당	I-OG
의	O
 	O
협	O
조	O
가	O
 	O
더	O
욱	O
 	O
불	O
가	O
피	O
한	O
 	O
상	O
황	O
이	O
 	O
됐	O
다	O
.	O

## klue-ner-v1_train_00028_nsmc	벌써 <네번째:QT> 봤다. 가슴을 후벼파는 감동...
벌	O
써	O
 	O
네	B-QT
번	I-QT
째	I-QT
 	O
봤	O
다	O
.	O
 	O
가	O
슴	O
을	O
 	O
후	O
벼	O
파	O
는	O
 	O
감	O
동	O
.	O
.	O
.	O

## klue-ner-v1_train_00029_nsmc	<어제:DT>인가? 영화가좋다" 프로그램을 보는데 소수의견 잼나는데 대기업의 횡포로 이 영화가 묻혔다고 하던데... 그런 논리라면 이 세상에 잘못되지 않은게 어디 있단 말인가?? 이 영화 자체도 마찬가지다 법정드라마라고 하는데 현재 으ᅮ리나라를 부정하는영화임"
어	B-DT
제	I-DT
인	O
가	O
?	O
 	O
영	O
화	O
가	O
좋	O
다	O
"	O
 	O
프	O
로	O
그	O
램	O
을	O
 	O
보	O
는	O
데	O
 	O
소	O
수	O
의	O
견	O
 	O
잼	O
나	O
는	O
데	O
 	O
대	O
기	O
업	O
의	O
 	O
횡	O
포	O
로	O
 	O
이	O
 	O
영	O
화	O
가	O
 	O
묻	O
혔	O
다	O
고	O
 	O
하	O
던	O
데	O
.	O
.	O
.	O
 	O
그	O
런	O
 	O
논	O
리	O
라	O
면	O
 	O
이	O
 	O
세	O
상	O
에	O
 	O
잘	O
못	O
되	O
지	O
 	O
않	O
은	O
게	O
 	O
어	O
디	O
 	O
있	O
단	O
 	O
말	O
인	O
가	O
?	O
?	O
 	O
이	O
 	O
영	O
화	O
 	O
자	O
체	O
도	O
 	O
마	O
찬	O
가	O
지	O
다	O
 	O
법	O
정	O
드	O
라	O
마	O
라	O
고	O
 	O
하	O
는	O
데	O
 	O
현	O
재	O
 	O
으	O
ᅮ	O
리	O
나	O
라	O
를	O
 	O
부	O
정	O
하	O
는	O
영	O
화	O
임	O
"	O

## klue-ner-v1_train_00030_nsmc	<한예슬:PS>이 목숨걸고 연기하던 시절.. 다시 <한번:QT> 그때처럼 간절해질수는 없나....
한	B-PS
예	I-PS
슬	I-PS
이	O
 	O
목	O
숨	O
걸	O
고	O
 	O
연	O
기	O
하	O
던	O
 	O
시	O
절	O
.	O
.	O
 	O
다	O
시	O
 	O
한	B-QT
번	I-QT
 	O
그	O
때	O
처	O
럼	O
 	O
간	O
절	O
해	O
질	O
수	O
는	O
 	O
없	O
나	O
.	O
.	O
.	O
.	O

## klue-ner-v1_train_00031_wikitree	이후 '<김은진:PS>'이라는 이름의 페이스북 페이지에는 방송에 나온 상황들을 구구절절 해명한 내용과 함께 모든 일을 제작진의 탓으로 돌리는 글이 올라와 논란이 일었었다.
이	O
후	O
 	O
'	O
김	B-PS
은	I-PS
진	I-PS
'	O
이	O
라	O
는	O
 	O
이	O
름	O
의	O
 	O
페	O
이	O
스	O
북	O
 	O
페	O
이	O
지	O
에	O
는	O
 	O
방	O
송	O
에	O
 	O
나	O
온	O
 	O
상	O
황	O
들	O
을	O
 	O
구	O
구	O
절	O
절	O
 	O
해	O
명	O
한	O
 	O
내	O
용	O
과	O
 	O
함	O
께	O
 	O
모	O
든	O
 	O
일	O
을	O
 	O
제	O
작	O
진	O
의	O
 	O
탓	O
으	O
로	O
 	O
돌	O
리	O
는	O
 	O
글	O
이	O
 	O
올	O
라	O
와	O
 	O
논	O
란	O
이	O
 	O
일	O
었	O
었	O
다	O
.	O

## klue-ner-v1_train_00032_wikitree	<이광종:PS> 감독이 이끄는 <한국:OG>은 <28일:DT> <인천 문학경기장:LC>에서 열린 축구 남자 준준결승 <일본:OG>과의 경기에서 <1-0:QT>으로 승리했다.
이	B-PS
광	I-PS
종	I-PS
 	O
감	O
독	O
이	O
 	O
이	O
끄	O
는	O
 	O
한	B-OG
국	I-OG
은	O
 	O
2	B-DT
8	I-DT
일	I-DT
 	O
인	B-LC
천	I-LC
 	I-LC
문	I-LC
학	I-LC
경	I-LC
기	I-LC
장	I-LC
에	O
서	O
 	O
열	O
린	O
 	O
축	O
구	O
 	O
남	O
자	O
 	O
준	O
준	O
결	O
승	O
 	O
일	B-OG
본	I-OG
과	O
의	O
 	O
경	O
기	O
에	O
서	O
 	O
1	B-QT
-	I-QT
0	I-QT
으	O
로	O
 	O
승	O
리	O
했	O
다	O
.	O

## klue-ner-v1_train_00033_wikitree	<900여명:QT>에 달하는 메르스 노출자가 발생했지만 <송재훈:PS> 삼성서울병원장은 <3차:QT> 감염자에 의한 <4차:QT> 감염은 발생하지 않았다고 밝혔다.
9	B-QT
0	I-QT
0	I-QT
여	I-QT
명	I-QT
에	O
 	O
달	O
하	O
는	O
 	O
메	O
르	O
스	O
 	O
노	O
출	O
자	O
가	O
 	O
발	O
생	O
했	O
지	O
만	O
 	O
송	B-PS
재	I-PS
훈	I-PS
 	O
삼	O
성	O
서	O
울	O
병	O
원	O
장	O
은	O
 	O
3	B-QT
차	I-QT
 	O
감	O
염	O
자	O
에	O
 	O
의	O
한	O
 	O
4	B-QT
차	I-QT
 	O
감	O
염	O
은	O
 	O
발	O
생	O
하	O
지	O
 	O
않	O
았	O
다	O
고	O
 	O
밝	O
혔	O
다	O
.	O

## klue-ner-v1_train_00034_wikitree	택시 과잉공급을 해소하고 택시기사 소득을 높이기 위해 <정부:OG>가 택시 수를 <5만대:QT> 가량 줄이기로 했다.
택	O
시	O
 	O
과	O
잉	O
공	O
급	O
을	O
 	O
해	O
소	O
하	O
고	O
 	O
택	O
시	O
기	O
사	O
 	O
소	O
득	O
을	O
 	O
높	O
이	O
기	O
 	O
위	O
해	O
 	O
정	B-OG
부	I-OG
가	O
 	O
택	O
시	O
 	O
수	O
를	O
 	O
5	B-QT
만	I-QT
대	I-QT
 	O
가	O
량	O
 	O
줄	O
이	O
기	O
로	O
 	O
했	O
다	O
.	O

## klue-ner-v1_train_00035_wikitree	학급·학년·동아리형으로 분류해 학급·동아리형에는 교실당 <50만원:QT>, 학년형에는 <40만원:QT>을 지원해 교재비, 문화·진로 체험비, 상담·강사비 등으로 사용하도록 한다.
학	O
급	O
·	O
학	O
년	O
·	O
동	O
아	O
리	O
형	O
으	O
로	O
 	O
분	O
류	O
해	O
 	O
학	O
급	O
·	O
동	O
아	O
리	O
형	O
에	O
는	O
 	O
교	O
실	O
당	O
 	O
5	B-QT
0	I-QT
만	I-QT
원	I-QT
,	O
 	O
학	O
년	O
형	O
에	O
는	O
 	O
4	B-QT
0	I-QT
만	I-QT
원	I-QT
을	O
 	O
지	O
원	O
해	O
 	O
교	O
재	O
비	O
,	O
 	O
문	O
화	O
·	O
진	O
로	O
 	O
체	O
험	O
비	O
,	O
 	O
상	O
담	O
·	O
강	O
사	O
비	O
 	O
등	O
으	O
로	O
 	O
사	O
용	O
하	O
도	O
록	O
 	O
한	O
다	O
.	O

## klue-ner-v1_train_00036_wikitree	<류현진:PS>은 <30일:DT>(이하 <한국:LC>시간) <미국 캘리포니아주 로스앤젤레스 다저스타디움:LC>에서 벌어진 <미국:LC>프로야구 <필라델피아 필리스:OG>와의 홈경기에 선발 등판, <7이닝:QT> 동안 안타 <7개:QT>를 맞고 <볼넷 3개:QT>를 내줬으나 <삼진 6개:QT>를 곁들이며 상대 타선을 <2점:QT>으로 막았다.
류	B-PS
현	I-PS
진	I-PS
은	O
 	O
3	B-DT
0	I-DT
일	I-DT
(	O
이	O
하	O
 	O
한	B-LC
국	I-LC
시	O
간	O
)	O
 	O
미	B-LC
국	I-LC
 	I-LC
캘	I-LC
리	I-LC
포	I-LC
니	I-LC
아	I-LC
주	I-LC
 	I-LC
로	I-LC
스	I-LC
앤	I-LC
젤	I-LC
레	I-LC
스	I-LC
 	I-LC
다	I-LC
저	I-LC
스	I-LC
타	I-LC
디	I-LC
움	I-LC
에	O
서	O
 	O
벌	O
어	O
진	O
 	O
미	B-LC
국	I-LC
프	O
로	O
야	O
구	O
 	O
필	B-OG
라	I-OG
델	I-OG
피	I-OG
아	I-OG
 	I-OG
필	I-OG
리	I-OG
스	I-OG
와	O
의	O
 	O
홈	O
경	O
기	O
에	O
 	O
선	O
발	O
 	O
등	O
판	O
,	O
 	O
7	B-QT
이	I-QT
닝	I-QT
 	O
동	O
안	O
 	O
안	O
타	O
 	O
7	B-QT
개	I-QT
를	O
 	O
맞	O
고	O
 	O
볼	B-QT
넷	I-QT
 	I-QT
3	I-QT
개	I-QT
를	O
 	O
내	O
줬	O
으	O
나	O
 	O
삼	B-QT
진	I-QT
 	I-QT
6	I-QT
개	I-QT
를	O
 	O
곁	O
들	O
이	O
며	O
 	O
상	O
대	O
 	O
타	O
선	O
을	O
 	O
2	B-QT
점	I-QT
으	O
로	O
 	O
막	O
았	O
다	O
.	O

